All calculations;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;N28\N28;N29\N29 DG
"Time in s";"u1, Magnitude in p.u.";"Positive-Sequence Current, Magnitude in kA";"Total Active Power in MW";"Total Reactive Power in Mvar";"u1, Magnitude in p.u.";"u1, Magnitude in p.u."
1.731667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.741667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.751667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.761667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.771667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.781667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.791667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.801667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.811667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.821667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.831667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.841667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.851667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.861667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.871667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.881667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.891667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.901667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.911667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.921667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.931667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.941667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.951667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.961667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.971667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.981667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.991667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.001667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.011667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.021667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.031667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.041667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.051667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.061667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.071667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.081667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.091667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.101667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.111667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.121667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.131667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.141667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.151667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.161667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.171667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.181667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.191667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.201667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.211667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.221667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.231667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.241667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.251667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.261667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.271667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.281667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.291667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.301667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.311667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.321667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.331667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.341667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.351667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.361667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.371667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.381667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.391667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
