All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
2.101667;0.156101;0.079861;1.024560;1.027362;1.050005
2.111667;0.156101;0.079861;1.024560;1.027362;1.050005
2.121667;0.156101;0.079861;1.024560;1.027362;1.050005
2.131667;0.156101;0.079861;1.024560;1.027362;1.050005
2.141667;0.156101;0.079861;1.024560;1.027362;1.050005
2.151667;0.156101;0.079861;1.024560;1.027362;1.050005
2.161667;0.156101;0.079861;1.024560;1.027362;1.050005
2.171667;0.156101;0.079861;1.024560;1.027362;1.050005
2.181667;0.156101;0.079861;1.024560;1.027362;1.050005
2.191667;0.156101;0.079861;1.024560;1.027362;1.050005
2.201667;0.156101;0.079861;1.024560;1.027362;1.050005
2.211667;0.156101;0.079861;1.024560;1.027362;1.050005
2.221667;0.156101;0.079861;1.024560;1.027362;1.050005
2.231667;0.156101;0.079861;1.024560;1.027362;1.050005
2.241667;0.156101;0.079861;1.024560;1.027362;1.050005
2.251667;0.156101;0.079861;1.024560;1.027362;1.050005
2.261667;0.156101;0.079861;1.024560;1.027362;1.050005
2.271667;0.156101;0.079861;1.024560;1.027362;1.050005
2.281667;0.156101;0.079861;1.024560;1.027362;1.050005
2.291667;0.156101;0.079861;1.024560;1.027362;1.050005
2.301667;0.156101;0.079861;1.024560;1.027362;1.050005
2.311667;0.156101;0.079861;1.024560;1.027362;1.050005
2.321667;0.156101;0.079861;1.024560;1.027362;1.050005
2.331667;0.156101;0.079861;1.024560;1.027362;1.050005
2.341667;0.156101;0.079861;1.024560;1.027362;1.050005
2.351667;0.156101;0.079861;1.024560;1.027362;1.050005
2.361667;0.156101;0.079861;1.024560;1.027362;1.050005
2.371667;0.156101;0.079861;1.024560;1.027362;1.050005
2.381667;0.156101;0.079861;1.024560;1.027362;1.050005
2.391667;0.156101;0.079861;1.024560;1.027362;1.050005
2.401667;0.156101;0.079861;1.024560;1.027362;1.050005
2.411667;0.156101;0.079861;1.024560;1.027362;1.050005
2.421667;0.156101;0.079861;1.024560;1.027362;1.050005
2.431667;0.156101;0.079861;1.024560;1.027362;1.050005
2.441667;0.156101;0.079861;1.024560;1.027362;1.050005
2.451667;0.156101;0.079861;1.024560;1.027362;1.050005
2.461667;0.156101;0.079861;1.024560;1.027362;1.050005
2.471667;0.156101;0.079861;1.024560;1.027362;1.050005
2.481667;0.156101;0.079861;1.024560;1.027362;1.050005
2.491667;0.156101;0.079861;1.024560;1.027362;1.050005
2.501667;0.156101;0.079861;1.024560;1.027362;1.050005
2.511667;0.156101;0.079861;1.024560;1.027362;1.050005
2.521667;0.156101;0.079861;1.024560;1.027362;1.050005
2.531667;0.156101;0.079861;1.024560;1.027362;1.050005
2.541667;0.156101;0.079861;1.024560;1.027362;1.050005
2.551667;0.156101;0.079861;1.024560;1.027362;1.050005
2.561667;0.156101;0.079861;1.024560;1.027362;1.050005
2.571667;0.156101;0.079861;1.024560;1.027362;1.050005
2.581667;0.156101;0.079861;1.024560;1.027362;1.050005
2.591667;0.156101;0.079861;1.024560;1.027362;1.050005
2.601667;0.156101;0.079861;1.024560;1.027362;1.050005
2.611667;0.156101;0.079861;1.024560;1.027362;1.050005
2.621667;0.156101;0.079861;1.024560;1.027362;1.050005
2.631667;0.156101;0.079861;1.024560;1.027362;1.050005
2.641667;0.156101;0.079861;1.024560;1.027362;1.050005
2.651667;0.156101;0.079861;1.024560;1.027362;1.050005
2.661667;0.156101;0.079861;1.024560;1.027362;1.050005
2.671667;0.156101;0.079861;1.024560;1.027362;1.050005
2.681667;0.156101;0.079861;1.024560;1.027362;1.050005
2.691667;0.156101;0.079861;1.024560;1.027362;1.050005
2.701667;0.156101;0.079861;1.024560;1.027362;1.050005
2.711667;0.156101;0.079861;1.024560;1.027362;1.050005
2.721667;0.156101;0.079861;1.024560;1.027362;1.050005
2.731667;0.156101;0.079861;1.024560;1.027362;1.050005
2.741667;0.156101;0.079861;1.024560;1.027362;1.050005
2.751667;0.156101;0.079861;1.024560;1.027362;1.050005
2.761667;0.156101;0.079861;1.024560;1.027362;1.050005
2.771667;0.156101;0.079861;1.024560;1.027362;1.050005
2.781667;0.156101;0.079861;1.024560;1.027362;1.050005
2.791667;0.156101;0.079861;1.024560;1.027362;1.050005
2.801667;0.156101;0.079861;1.024560;1.027362;1.050005
2.811667;0.156101;0.079861;1.024560;1.027362;1.050005
2.821667;0.156101;0.079861;1.024560;1.027362;1.050005
2.831667;0.156101;0.079861;1.024560;1.027362;1.050005
2.841667;0.156101;0.079861;1.024560;1.027362;1.050005
2.851667;0.156101;0.079861;1.024560;1.027362;1.050005
2.861667;0.156101;0.079861;1.024560;1.027362;1.050005
2.871667;0.156101;0.079861;1.024560;1.027362;1.050005
2.881667;0.156101;0.079861;1.024560;1.027362;1.050005
2.891667;0.156101;0.079861;1.024560;1.027362;1.050005
2.901667;0.156101;0.079861;1.024560;1.027362;1.050005
2.911667;0.156101;0.079861;1.024560;1.027362;1.050005
2.921667;0.156101;0.079861;1.024560;1.027362;1.050005
2.931667;0.156101;0.079861;1.024560;1.027362;1.050005
2.941667;0.156101;0.079861;1.024560;1.027362;1.050005
2.951667;0.156101;0.079861;1.024560;1.027362;1.050005
2.961667;0.156101;0.079861;1.024560;1.027362;1.050005
2.971667;0.156101;0.079861;1.024560;1.027362;1.050005
2.981667;0.156101;0.079861;1.024560;1.027362;1.050005
2.991667;0.156101;0.079861;1.024560;1.027362;1.050005
3.001667;0.156101;0.079861;1.024560;1.027362;1.050005
3.011667;0.156101;0.079861;1.024560;1.027362;1.050005
3.021667;0.156101;0.079861;1.024560;1.027362;1.050005
3.031667;0.156101;0.079861;1.024560;1.027362;1.050005
3.041667;0.156101;0.079861;1.024560;1.027362;1.050005
3.051667;0.156101;0.079861;1.024560;1.027362;1.050005
3.061667;0.156101;0.079861;1.024560;1.027362;1.050005
3.071667;0.156101;0.079861;1.024560;1.027362;1.050005
3.081667;0.156101;0.079861;1.024560;1.027362;1.050005
3.091667;0.156101;0.079861;1.024560;1.027362;1.050005
3.101667;0.156101;0.079861;1.024560;1.027362;1.050005
3.111667;0.156101;0.079861;1.024560;1.027362;1.050005
3.121667;0.156101;0.079861;1.024560;1.027362;1.050005
3.131667;0.156101;0.079861;1.024560;1.027362;1.050005
3.141667;0.156101;0.079861;1.024560;1.027362;1.050005
3.151667;0.156101;0.079861;1.024560;1.027362;1.050005
3.161667;0.156101;0.079861;1.024560;1.027362;1.050005
3.171667;0.156101;0.079861;1.024560;1.027362;1.050005
3.181667;0.156101;0.079861;1.024560;1.027362;1.050005
3.191667;0.156101;0.079861;1.024560;1.027362;1.050005
3.201667;0.156101;0.079861;1.024560;1.027362;1.050005
3.211667;0.156101;0.079861;1.024560;1.027362;1.050005
3.221667;0.156101;0.079861;1.024560;1.027362;1.050005
3.231667;0.156101;0.079861;1.024560;1.027362;1.050005
3.241667;0.156101;0.079861;1.024560;1.027362;1.050005
3.251667;0.156101;0.079861;1.024560;1.027362;1.050005
3.261667;0.156101;0.079861;1.024560;1.027362;1.050005
3.271667;0.156101;0.079861;1.024560;1.027362;1.050005
3.281667;0.156101;0.079861;1.024560;1.027362;1.050005
3.291667;0.156101;0.079861;1.024560;1.027362;1.050005
3.301667;0.156101;0.079861;1.024560;1.027362;1.050005
3.311667;0.156101;0.079861;1.024560;1.027362;1.050005
